repo_fullname,commits_avg_added,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_avg_removed,commits_count,commits_days_since_first,commits_days_since_last,commits_max_per_day,commits_total_lines_added,commits_total_lines_removed,contributors_count,contributors_top_avg_additions,contributors_top_avg_commits,contributors_top_avg_deletions,contributors_top_avg_participation_week,forks_avg_max_per_day,forks_count,issues_avg_body_length,issues_avg_comment_length,issues_avg_comments,issues_avg_labels,issues_avg_per_day,issues_avg_per_day_real,issues_avg_title_length,issues_count,issues_labels,issues_max_per_day,issues_open,issues_total_comments,pulls_avg_body_length,pulls_avg_comments,pulls_avg_Commits,pulls_avg_created_per_day_real,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_review_comments,pulls_avg_title_length,pulls_count,pulls_max_created_per_day,pulls_total_lines_added,pulls_total_lines_removed,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_body_length,releases_avg_title_length,releases_count,releases_tags,releases_total_downloads,repo_age_days,repo_branches,repo_deployments,repo_languages,repo_milestones,repo_network_members,repo_readme_length,repo_size,repo_topics,repo_watchers,repo_workflows,stars_avg_per_day_real,stars_count,stars_max_per_day,wf_avg_duration,wf_avg_fails_per_day,wf_avg_failure_duration,wf_avg_success_duration,wf_avg_successes_per_day_real,wf_count,labels
yunshouhu/datastructure_yanweimin,9141,105,12,2,1,2,2257,2257,2,18282,1,1,9141,2,0,1,2,67,110,6,1,0,0,1,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257,1,0,2,0,68,38,190,0,148,0,1,148,2,0,0,0,0,0,0,1
SweetInk/lagou-course-downloader,35,3,66,1,69,1,108,108,1,35,69,4,84,21,45,4,3,70,0,58,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972,7,0,1,0,70,0,366,4,142,0,1,142,4,0,0,0,0,0,0,1
Iceloof/GoogleNews,30,3,41,3,17,94,1173,107,11,2856,1567,11,24,6,16,2,2,66,359,335,2,0,0,1,31,87,0,3,5,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,14,15,15,0,1173,2,0,1,0,68,3272,229,7,145,1,1,145,3,0.002332176,0,0,0.002332176,1,2,0
freenas/iocage-ix-plugins,22,4,62,2,19,398,1886,40,10,8826,7712,28,20,6,15,3,2,86,214,200,1,0,0,1,33,312,52,10,6,327,0,1,1,1,1,0,2,2,0,45,1,1,2,2,0,0,0,0,0,0,0,0,1794,11,0,1,0,88,532,2042,0,147,0,1,147,2,0,0,0,0,0,0,0
vojtech-dobes/nette.ajax.js,14,1,68,2,7,205,3602,1444,14,2783,1359,25,16,7,10,2,2,85,343,167,2,0,0,1,39,165,40,3,35,409,223,0,1,1,1,0,18,1,0,39,11,1,203,17,0,0,0,431,20,12,12,0,3602,6,0,1,2,88,6762,136,6,149,0,1,149,44,0,0,0,0,0,0,1
farmingyard/caffe-mobilenet,223,1,20,3,1,10,1719,1705,8,2232,13,1,223,10,1,2,4,82,602,154,2,0,0,1,52,15,0,1,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719,1,0,2,0,82,137,9,3,147,0,1,147,8,0,0,0,0,0,0,0
hasinhayder/themeforest-wp-theme-approval-checklist,21,1,25,10,8,31,1659,1657,21,650,240,2,14,13,5,1,16,66,125,182,0,0,0,1,28,5,0,2,1,4,174,0,1,1,1,0,5,5,0,18,1,1,5,5,0,0,0,0,0,0,0,0,1659,2,0,0,0,72,13104,16,6,148,0,2,148,68,0,0,0,0,0,0,0
PageModifiedOfficial/Check-My-Links,399,3,44,2,36,93,3712,498,8,37139,3379,7,345,10,105,4,1,69,311,292,1,0,0,1,36,103,13,5,15,130,125,0,1,1,3,0,32,8,0,33,2,1,65,17,0,0,0,0,0,0,0,0,3712,2,0,3,1,71,838,247,0,150,0,1,150,5,0,0,0,0,0,0,1
yaseng/pentest,353,1,28,1,7,1,765,765,1,353,7,1,173,66,17,20,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129,2,0,11,0,73,0,109,2,144,0,0,0,0,0,0,0,0,0,0,1
thaiphan/magento2-s3,12,1,16,1,0,1,1005,1005,1,12,0,7,81,6,13,3,2,85,0,244,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,1,4,4,0,1839,5,0,2,0,92,0,91,2,143,0,0,0,0,0,0,0,0,0,0,1
